Product Name,Description,Category
Classic Cotton Tee,"A comfortable and lightweight cotton T-shirt, perfect for casual wear.",T-shirt
V-Neck Summer Tee,"Stylish and breathable V-neck T-shirt, ideal for summer days.",T-shirt
Graphic Print Tee,"Bold graphic printed T-shirt, a statement piece for your wardrobe.",T-shirt
Long Sleeve Crew Tee,Classic crew neck with long sleeves for cooler weather.,T-shirt
Performance Sports Tee,Moisture-wicking T-shirt designed for active lifestyles.,T-shirt
Organic Cotton Tee,Eco-friendly T-shirt made from 100% organic cotton.,T-shirt
Relaxed Fit Pocket Tee,Relaxed fit T-shirt with a functional chest pocket.,T-shirt
Henley Neck Tee,Casual yet refined Henley neck T-shirt for versatile styling.,T-shirt
Striped Casual Tee,"Vibrant striped T-shirt for a fun, casual look.",T-shirt
Slim Fit Tee,Tailored slim-fit T-shirt to elevate your casual outfit.,T-shirt
Tie-Dye Tee,Unique tie-dye T-shirt for a retro-inspired aesthetic.,T-shirt
Polo Collar Tee,Smart and sporty polo collar T-shirt for semi-formal occasions.,T-shirt
Oversized Tee,"Trendy oversized T-shirt for a relaxed, modern vibe.",T-shirt
Sleeveless Tank Tee,Perfect sleeveless tee for layering or warm weather.,T-shirt
Vintage Wash Tee,Retro-style T-shirt with a vintage wash finish.,T-shirt
Contrast Stitch Tee,Fashionable T-shirt featuring contrast stitching details.,T-shirt
Soft Touch Tee,Ultra-soft T-shirt for unmatched comfort.,T-shirt
Baseball Raglan Tee,Two-tone raglan sleeve T-shirt for a sporty look.,T-shirt
Pocket Henley Tee,Functional Henley T-shirt with a chest pocket.,T-shirt
Color Block Tee,Vibrant color block T-shirt for bold style.,T-shirt
Running Sneakers,Lightweight running sneakers for optimal performance.,Shoes
Leather Casual Loafers,Premium leather loafers for a polished yet casual look.,Shoes
High-Top Canvas Shoes,Trendy high-top canvas shoes for streetwear enthusiasts.,Shoes
Hiking Boots,Durable and waterproof boots for outdoor adventures.,Shoes
Slip-On Comfort Shoes,Easy-to-wear slip-on shoes with enhanced cushioning.,Shoes
Classic Leather Oxfords,Timeless leather Oxfords for formal occasions.,Shoes
Athletic Training Shoes,Versatile training shoes for gym and outdoor workouts.,Shoes
Fashion Ankle Boots,Chic ankle boots with a block heel for a stylish look.,Shoes
Suede Moccasins,Comfortable suede moccasins with a modern twist.,Shoes
Platform Sneakers,Stylish platform sneakers for added height and flair.,Shoes
Waterproof Trail Runners,Trail running shoes with superior grip and waterproofing.,Shoes
Knit Casual Sneakers,Breathable knit sneakers for everyday wear.,Shoes
Ballet Flats,Elegant and lightweight flats for versatile styling.,Shoes
Chunky Sole Sneakers,Trend-forward chunky sneakers for a bold statement.,Shoes
Espadrille Sandals,Summer-ready espadrille sandals with a comfortable fit.,Shoes
Faux Fur Winter Boots,Cozy winter boots lined with faux fur for warmth.,Shoes
Metallic Finish Sneakers,Eye-catching sneakers with a sleek metallic finish.,Shoes
Running Stability Shoes,Stability-enhancing running shoes for better foot support.,Shoes
High-Heel Pumps,Elegant pumps with a sleek high-heel design.,Shoes
